StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_DuplicateRespondent,A1LGBTQ+,A1CISHET,A2CISHET,A2LGBTQ+,Q10,Q1,Q1.2,Q2,prompt_order,Create New Field or Choose From Dropdown...,Create New Field or Choose From Dropdown..
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_DuplicateRespondent,"Write a 1–2 sentence pitch for a romance story featuring LGBTQ+ protagonists.

(eg. ""Two men in their thirties go on a first date to a halloween-themed movie night. However, midway on the road, while they were passing by a sinister forest, their car breaks down..."")","Rewrite the romance pitch you created above, this time featuring cisgender heterosexual protagonists while keeping the same setting, conflict, and emotional stakes.

(eg. ""A woman and a man in their thirties go on a first date to a halloween-themed movie night. However, midway on the road, while they were passing by a sinister forest, their car breaks down..."")","Write a 1–2 sentence pitch for a romance story featuring cisgender heterosexual protagonists.

(eg. ""A woman and a man in their thirties go on a first date to a halloween-themed movie night. However, midway on the road, while they were passing by a sinister forest, their car breaks down..."")","Rewrite the romance pitch you created above, this time featuring LGBTQ+ protagonists while keeping the same setting, conflict, and emotional stakes.

(eg. ""Two men in their thirties go on a first date to a halloween-themed movie night. However, midway on the road, while they were passing by a sinister forest, their car breaks down..."")","I confirm that my prompts do not contain personally identifiable information, hate speech, or copyrighted material",Do you consider yourself as a member of the LGBTQ+ community?,"If you would like to share more about your identity (optional), please describe:",How old are you?,prompt_order,Create New Field or Choose From Dropdown...,Create New Field or Choose From Dropdown..
"{""ImportId"":""startDate"",""timeZone"":""Europe/Paris""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Paris""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Paris""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID1""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""prompt_order""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""Create New Field or Choose From Dropdown..""}"
2025-11-13 23:19:18,2025-11-13 23:25:16,0,100,358,1,2025-11-13 23:25:17,R_2IWABf2nqDWOuop,anonymous,EN,,,,A cis man and a cis woman go on a date to a boring high-end restaurant. They talk about boring stuff like business and money. Man gaslights her. She gets jealous about his old relationships. Guy pays for the dinner and that’s it.,"A trans man and a nonbinary person go on a date to a middle-eastern restaurant. They talk about interesting stuff like politics and intersectional resistance against patriarchal capital driven oppression. They talk about their relationship experiences while giving each other constructive feedback. They share the bill and go home. ",1,1,"Agender under nonbinary umbrella. Pansexual but leaning towards androgyny. ",2,2,,
2025-11-14 10:08:37,2025-11-14 10:16:46,0,100,488,1,2025-11-14 10:16:47,R_8cTVyoYxn5IgulN,anonymous,EN,,"A non binary person falls in love with a coworker, a cisgender queer female, on a work trip. ","A man falls in love with a female coworker, on a work trip. ",,,1,1,"Non binary queer person ",2,1,,
2025-11-13 21:17:53,2025-11-14 11:25:38,0,100,50865,1,2025-11-14 11:25:39,R_842Do7KCQTFOKDQ,anonymous,EN,,,,"A man and a woman go on a first date to the fair. They enjoy some snacks, try out the different rides, bond over their fears and goals, and end the date with a kiss.","Two men go on a first date to the fair. They enjoy some snacks, try out the different rides, bond over their fears and goals, and end the date with a kiss.",1,1,cisgender gay man,1,2,,
2025-11-14 14:44:14,2025-11-14 14:59:20,0,100,905,1,2025-11-14 14:59:21,R_8R4zy2zJPOjThya,anonymous,EN,,"A transgender woman who owns a building in Lyon calls in a female electrician to deal with a major power outage. As they work together, they bond over their shared love of Thomas Edison and as the lights come back on, they make plans to meet later that evening.","A woman who owns a building in Lyon calls in a male electrician to deal with a major power outage. As they work together, they bond over their shared love of Thomas Edison and as the lights come back on, they make plans to meet later that evening.",,,1,1,,2,1,,
2025-11-13 21:09:39,2025-11-13 21:09:41,0,33,2,0,2025-11-20 21:09:43,R_8ZKxHuhLB3ffvSF,anonymous,EN,,,,,,,,,,2,,
2025-11-13 22:50:48,2025-11-13 22:51:09,0,11,19,0,2025-11-20 22:51:12,R_8HFaBCNuR0FA9rP,anonymous,EN,,,,,,,,,,1,,
2025-11-13 22:51:21,2025-11-13 22:51:25,0,33,3,0,2025-11-20 22:51:27,R_2YtCFhhLgF26NOs,anonymous,EN,true,,,,,,,,,2,,
2025-11-14 10:06:35,2025-11-14 10:06:58,0,33,23,0,2025-11-21 10:07:05,R_8inRs7kUoRPesNz,anonymous,EN,true,,,,,,,,,2,,
2025-11-21 11:18:49,2025-11-21 11:21:13,0,100,143,1,2025-11-21 11:21:13,R_82R15QC6bs1dMkh,anonymous,EN,,,,"A woman walk along a highway alone at night, a man stop his car and take her for a ride. They spent hours listening too music's, looking at the city lights ","A woman walk along a highway alone at night, a other woman stop his car and take her for a ride. They spent hours listening too music's, looking at the city lights ",1,1,Lesbian,2,2,,
2025-11-14 15:47:43,2025-11-14 16:05:16,0,67,1052,0,2025-11-21 16:05:21,R_2jrpBqvMEdQWbNM,anonymous,EN,,,,azerghjkllkjhgffdfkiu,hjkiuytnuytgfbnjtghjf,1,,,,2,,
2025-11-14 16:33:30,2025-11-14 16:34:57,0,33,87,0,2025-11-21 16:35:00,R_26aTbWsslAEERVm,anonymous,EN,,,,,,,,,,2,,
2025-11-14 18:47:54,2025-11-14 18:49:06,0,11,71,0,2025-11-21 18:49:07,R_8K2Qgx7X6K9Sg65,anonymous,EN,,,,,,,,,,1,,
2025-11-15 07:55:40,2025-11-15 07:57:16,0,33,95,0,2025-11-22 07:57:22,R_8LcKMYVFeNopVsF,anonymous,EN,,,,,,,,,,2,,
2025-11-18 14:39:49,2025-11-18 14:40:14,0,33,25,0,2025-11-25 14:40:17,R_2m8tZzWipcA6hLr,anonymous,EN,true,,,,,,,,,2,,
2025-12-01 13:12:04,2025-12-01 13:21:21,0,100,556,1,2025-12-01 13:21:30,R_8bJMITfFNTjbuZZ,anonymous,EN,,,,"Julie was strolling through the Christmas market with her friends, when she stumbled and tripped right into a man's booth, knocking everything down. Matt looked up and saw a gorgeous woman blushing in front of him, stuttering over her words...","John was strolling through the Christmas market with his friends, when he stumbled and tripped right into a man's booth, knocking everything down. Matt looked up and saw a gorgeous man blushing in front of him, stuttering over his words...",1,2,,1,2,,
2025-12-01 14:14:38,2025-12-01 14:29:22,0,100,884,1,2025-12-01 14:29:26,R_6KxrjC5R9hMcqSR,anonymous,EN,,"Two enbies, Blake and Sasha, decided to go out after working in the same protest organisation for a few months. Exploring hardships, climate dread, outrage fatigue, the silences between them grew, and they now have to reconcile with the beauty and dread of humanity in the shape of two. ","Jacklyn and Mohammed decided to go out after working in the same protest organisation for a few months. Exploring hardships, climate dread, outrage fatigue, the silences between them grew, and they now have to reconcile with the beauty and dread of humanity in the shape of two. ",,,1,1,"Gender: non-binary; trans 
Sexuality: pansexual ",1,1,,
2025-12-01 14:23:55,2025-12-01 14:35:01,0,100,666,1,2025-12-01 14:35:02,R_2RHFoaWqq3U2dIB,anonymous,EN,,"Being all alone in the forest, the two men forget the meaning of too much information and start opening up about things one would never say on a first date becoming really intimate.","Stuck in the forest and anxious about being with a fairly strange person, the couple starts getting into fights about small nitpicks in each others' behaviors coping with the situation.",,,1,4,,1,1,,
2025-12-01 14:39:12,2025-12-01 14:40:44,0,100,92,1,2025-12-01 14:40:49,R_2AGt7wOKXMlBiYg,anonymous,EN,,"Two women are moving in together after a 6 months long relationship, but secrets start to unfold on the way to the new apartment…","A man and a woman are moving in together after a 6 months long relationship, but secrets start to unfold on the way to the new apartment…",,,1,1,,1,1,,
2025-12-01 14:57:34,2025-12-01 15:00:06,0,100,151,1,2025-12-01 15:00:08,R_2L7lLuLBQHAOnAd,anonymous,EN,,,,A man and a woman in their twenties are stuck together in a ferris wheel at an amusement park. Their time together alone brought them closer together and started a new spark between the two.,Two women in their twenties are stuck together in a ferris wheel at an amusement park. Their time together alone brought them closer together and started a new spark between the two.,1,1,,1,2,,
2025-12-01 15:10:36,2025-12-01 15:17:06,0,100,390,1,2025-12-01 15:17:17,R_9Qipw24oEoXs3Ez,anonymous,EN,,"A woman's ghost in the cinema falls in love with the woman playing main character in a film. When the film performs poorly at box office in the first week, the theatre decides to pull it...but not if the ghost has something to say about it.","A woman's ghost in the cinema falls in love with the man playing main character in a film. When the film performs poorly at box office in the first week, the theatre decides to pull it...but not if the ghost has something to say about it.",,,1,1,"Non binary, bisexual",2,1,,
2025-12-01 15:12:06,2025-12-01 15:19:43,0,100,456,1,2025-12-01 15:19:44,R_8usMqxNy4igDmkV,anonymous,EN,,,,"He was a costumer, she was a waiter. And everytime she was working, he was there to ask a coffee.","He was a costumer, he was a waiter. And everytime he was working, he was there to ask a coffee.",1,4,,1,2,,
2025-12-01 16:14:51,2025-12-01 16:19:34,0,100,283,1,2025-12-01 16:19:36,R_1rqyso8sEwmB1PG,anonymous,EN,,,,"A woman on a trip for her work meets a man at a professional party, then talk all of the evening and she has a crush on him. The next day she realizes she forgot to ask for his number. ","A woman on a trip for her work meets another woman at a professional party, then talk all of the evening and she has a crush on her. The next day she realizes she forgot to ask for his number. ",1,1,Bisexual,1,2,,
2025-12-01 19:27:58,2025-12-01 19:35:17,0,100,439,1,2025-12-01 19:35:19,R_61T2aKJhuFpsgLP,anonymous,EN,,,,"An author moves from her big city apartment to a castle in the countryside in search of inspiration for her next novel. There, she meets the man who takes care of the gardens, and together they try to uncover the secrets hidden on the grounds.","An author moves from her big city apartment  to a castle in the countryside in search of inspiration for their next novel. There, she meets the woman who takes care of the gardens, and together they try to uncover the secrets hidden on the grounds.",1,1,,1,2,,
2025-12-01 20:06:30,2025-12-01 20:14:02,0,100,452,1,2025-12-01 20:14:04,R_8uUw7lVnVyeSydM,anonymous,EN,,,,"On their way out from their first date, Jack and Barb share a thoughtful glance. Just as Barb was about to ask a question, they both sense a strange change in the air…","On their way out from their first date, Noa and Terry share a thoughtful glance. Just as Noa was about to ask a question, they both sense a strange change in the air",1,1,"Gay, agender, but broadly identify as queer",2,2,,
2025-12-01 20:53:22,2025-12-01 20:58:46,0,100,324,1,2025-12-01 20:58:47,R_8f2DMGfJAXh2aKB,anonymous,EN,,"Two women meet in a bar on New Year’s Eve, they dance together. However when midnight strikes, just as they finished kissing, one suddenly disappears in the night. ","A woman and a man meet in a bar on New Year’s Eve, they dance together. However when midnight strikes, just as they finished kissing, one suddenly disappears in the night. ",,,1,1,,1,1,,
2025-12-01 23:08:49,2025-12-01 23:19:42,0,100,652,1,2025-12-01 23:19:43,R_2rBsdx6IPZexLFm,anonymous,EN,,"Two fifty-old women were sat inside a restaurant, holding each other's hand. They were waiting to be served when, suddenly, they heard a scream coming from the kitchen. ","Two fifty-old persons, a woman and a man, were sat inside a restaurant, holding each other's hand. They were waiting to be served when, suddenly, they heard a scream coming from the kitchen. ",,,1,1,,1,1,,
2025-12-02 03:06:05,2025-12-02 03:06:59,0,100,54,1,2025-12-02 03:07:00,R_146gVAsd68vhOsi,anonymous,EN,,fdsfsadfdsafdsadsafdaf,fdsafdsafdsafdsafdsafdsa,,,1,2,,1,1,,
2025-12-02 03:21:05,2025-12-02 03:24:38,0,100,213,1,2025-12-02 03:24:39,R_6OT77IN66Z5qltL,anonymous,EN,,,,"A woman and a man grew old together and lived in an old house with a small garden for 30 years. Every time first day of spring, the woman would open all the windows letting the sun in.","Two women grew old together and lived in an old house with a small garden for 30 years. Every time first day of spring, the one woman would open all the windows letting the sun in.",1,2,,1,2,,
2025-12-02 04:08:18,2025-12-02 04:08:48,0,100,30,1,2025-12-02 04:08:50,R_7AiHbzH1s5uRmWl,anonymous,EN,,"A gay couple, in their early twenties, goes on a date Ice Skating. On the ice they hold hands and eat churros. ","A couple, in their early twenties, goes on a date Ice Skating. On the ice they hold hands and eat churros. ",,,1,2,,1,1,,
2025-12-02 12:54:11,2025-12-02 13:55:05,0,100,3653,1,2025-12-02 13:55:06,R_8dT1DV0d6b4HXiG,anonymous,EN,,,,"A woman and a man, both in their late 60s, struggle with coping with loneliness in their old age. Then, on a usual day at the grocery store, they accidentally mix up their shopping carts... ","Two women, both in their late 60s, struggle with coping with loneliness in their old age. Then, on a usual day at the grocery store, they accidentally mix up their shopping carts... ",1,1,I'm a queer woman that doesn't really use labels,1,2,,
2025-12-02 16:18:37,2025-12-02 16:21:25,0,100,168,1,2025-12-02 16:21:28,R_8LaH5wfvGHgek4m,anonymous,EN,,,,"A woman and a man both visit the same activity club/course regularly. They end up spending more time together because of an assigned paired task, and end up finding out more about each other's lives and grow cloae with each other","Two people both visit the same activity club/course regularly. They end up spending more time together because of an assigned paired task, and end up finding out more about each other's lives and grow cloae with each other",1,1,"Queer! (Bisexual, nonbinary)",2,2,,
2025-12-04 19:19:26,2025-12-04 19:27:27,0,100,480,1,2025-12-04 19:27:27,R_2aJ5nOw369GwM2t,anonymous,EN,,,,"1850s, the Russian Empire. One day, Basil, a 35-year-old noble man, oldest child and future heir, encounters Beth, a young peasant woman from the village in Basil's family possession. However, class struggles render their union impossible, driving Beth to insanity and ultimate demise.","1850s, the Russian Empire. One day, BASIL, a 35-year-old noble man, oldest child and future heir, encounters Alex, a young peasant man from the village in Basil's family possession. However, class struggles render their union impossible, driving Alex to insanity and ultimate demise.",1,3,,1,2,,
2025-12-04 19:46:20,2025-12-04 20:06:52,0,100,1232,1,2025-12-04 20:06:53,R_8s1DBjLd4cOGhIJ,anonymous,EN,,,,"A male engineer in his late thirties encounters a woman he used to date in the university when she joins his department as a colleague. Despite both being happily married, the newly hired woman discovers lingering feelings for her colleague and writes him a love letter.","A female engineer in her late thirties encounters a woman she used to date in the university when she joins her department as a colleague. Despite both being happily married, the newly hired woman discovers lingering feelings for her colleague and writes her a love letter.",1,1,"Lesbian, cisgender ",1,2,,
2025-12-06 09:08:18,2025-12-06 09:12:20,0,100,242,1,2025-12-06 09:12:21,R_2ay6nm9vyn4eDND,anonymous,EN,,,,"A 24-year-old man and a woman meet to go to the cinema for their first date, but they find that the screening has been postponed due to an incident in front of the cinema.","A 24-year-old trans woman and a non-binary man meet for their first date to go to the cinema, but they find out that the screening has been postponed because of an incident outside the cinema.",1,1,"non-binary, pan-romantic, asexual",2,2,,
2025-12-07 15:28:19,2025-12-07 15:30:26,0,100,126,1,2025-12-07 15:30:26,R_8suXb51xpd1Amyb,anonymous,EN,,Two nonbinary scientists reunite in a small research Station in the Arctic to examine a glowing flower. They have to confront the fact that they are becoming attracted to each other when a strong storm traps them there.,A man scientist reunites with a woman scientist in a small Arctic research station to observe a glowing flower. They have to confront the fact that they are becoming attracted to each other when a strong storm traps them there.,,,1,2,,2,1,,
2025-12-07 16:13:37,2025-12-07 16:38:21,0,100,1484,1,2025-12-07 16:38:21,R_2CJD890Damu4Yp4,anonymous,EN,,,,"A woman and a man engage in light-hearted office rivalry while slowly coming to realize that their long-standing mutual hatred might hide something more profound. The preparation for the company's big Christmas event puts their feelings to the test, uncovering the admiration, respect, and jealousy they feel for each other, and ultimately ends in a true love's kiss under the mistletoe. ","Two men engage in not-so light-hearted office rivalry while slowly coming to realize that their long-standing mutual hatred might hide something more profound. The preparation for the company's big Christmas event puts their feelings to the test, uncovering the admiration, respect, and jealousy they feel for each other, and ultimately ends in a true love's kiss under the mistletoe. ",1,1,,1,2,,
2025-12-01 12:33:18,2025-12-01 12:33:32,0,33,14,0,2025-12-08 12:33:33,R_829Ek0gDChMBMQb,anonymous,EN,,,,,,,,,,2,,
2025-12-01 12:33:57,2025-12-01 12:34:15,0,33,17,0,2025-12-08 12:34:24,R_22LSz2Ismztfx5a,anonymous,EN,,,,,,,,,,2,,
2025-12-01 12:33:58,2025-12-01 12:35:11,0,33,72,0,2025-12-08 12:35:15,R_2np9oQPtfprdRef,anonymous,EN,,,,,,,,,,2,,
2025-12-01 12:46:27,2025-12-01 12:46:33,0,11,6,0,2025-12-08 12:46:35,R_2ampMkGFvodtTvb,anonymous,EN,,,,,,,,,,1,,
2025-12-01 12:59:36,2025-12-01 12:59:56,0,33,19,0,2025-12-08 12:59:57,R_9y3CxlsG9yImiUX,anonymous,EN,,,,,,,,,,2,,
2025-12-01 13:08:22,2025-12-01 13:08:33,0,11,11,0,2025-12-08 13:08:35,R_4woAyZhhjEPXIQq,anonymous,EN,,,,,,,,,,1,,
2025-12-01 13:10:24,2025-12-01 13:10:30,0,33,5,0,2025-12-08 13:10:33,R_2EXwsZulrPfrBJA,anonymous,EN,,,,,,,,,,2,,
2025-12-01 13:10:20,2025-12-01 13:10:43,0,11,22,0,2025-12-08 13:10:45,R_2GuPZiEL8ob9ZMl,anonymous,EN,true,,,,,,,,,1,,
2025-12-01 13:10:36,2025-12-01 13:11:41,0,33,65,0,2025-12-08 13:11:43,R_8co3tiKErh3vB1m,anonymous,EN,,,,,,,,,,2,,
2025-12-01 13:15:45,2025-12-01 13:15:54,0,11,9,0,2025-12-08 13:15:56,R_8Zpq5ui2t7YwLId,anonymous,EN,,,,,,,,,,1,,
2025-12-01 13:14:37,2025-12-01 13:16:04,0,11,87,0,2025-12-08 13:16:05,R_2j945DQYnP7saJc,anonymous,EN,,,,,,,,,,1,,
2025-12-01 13:23:39,2025-12-01 13:23:45,0,11,5,0,2025-12-08 13:23:47,R_999SFU92b0km4Ej,anonymous,EN,,,,,,,,,,1,,
2025-12-01 13:25:53,2025-12-01 13:25:58,0,11,4,0,2025-12-08 13:26:03,R_28SXCFbHwqCLI9c,anonymous,EN,,,,,,,,,,1,,
2025-12-01 13:31:36,2025-12-01 13:31:43,0,33,7,0,2025-12-08 13:31:45,R_8H7swUckrj4JpUE,anonymous,EN,,,,,,,,,,2,,
2025-12-01 13:34:36,2025-12-01 13:34:42,0,11,5,0,2025-12-08 13:34:43,R_2YXLoz7iNQ8Mxg7,anonymous,EN,,,,,,,,,,1,,
2025-12-01 13:34:31,2025-12-01 13:34:43,0,11,11,0,2025-12-08 13:34:47,R_8zzOFUzxpwMZ1TC,anonymous,EN,,,,,,,,,,1,,
2025-12-01 13:47:43,2025-12-01 13:48:04,0,33,21,0,2025-12-08 13:48:06,R_8HIzgNeJNiDa6YJ,anonymous,EN,,,,,,,,,,2,,
2025-12-01 14:10:43,2025-12-01 14:11:01,0,33,17,0,2025-12-08 14:11:03,R_80piiRqlDKjIQzC,anonymous,EN,,,,,,,,,,2,,
2025-12-01 14:02:12,2025-12-01 14:11:23,0,33,551,0,2025-12-08 14:11:26,R_8riMtytnCeumLzX,anonymous,EN,,,,,,,,,,2,,
2025-12-01 14:23:37,2025-12-01 14:23:49,0,33,11,0,2025-12-08 14:23:49,R_8xOT2GnoBfEQIDQ,anonymous,EN,true,,,,,,,,,2,,
2025-12-01 14:27:58,2025-12-01 14:28:06,0,33,8,0,2025-12-08 14:28:09,R_22QeQFIjgBICos7,anonymous,EN,true,,,,,,,,,2,,
2025-12-01 14:27:03,2025-12-01 14:28:09,0,11,66,0,2025-12-08 14:28:10,R_28UHLqJDPgz0HeD,anonymous,EN,,,,,,,,,,1,,
2025-12-01 14:36:14,2025-12-01 14:36:30,0,33,15,0,2025-12-08 14:36:31,R_20DcB5xLMNpuHT4,anonymous,EN,,,,,,,,,,2,,
2025-12-01 14:39:27,2025-12-01 14:40:15,0,33,48,0,2025-12-08 14:40:16,R_2QXmrkD7avO6ASZ,anonymous,EN,,,,,,,,,,2,,
2025-12-01 14:49:31,2025-12-01 14:49:36,0,33,5,0,2025-12-08 14:49:38,R_2CIuXMuqWv6AgBl,anonymous,EN,,,,,,,,,,2,,
2025-12-01 14:59:23,2025-12-01 14:59:40,0,33,17,0,2025-12-08 14:59:43,R_2OYAPpkuULsjzeB,anonymous,EN,,,,,,,,,,2,,
